y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
1,0.11,0.11,0.11,0.1,0.27,0.14,0.11,0.18,0.14,0.14,0.16,0.16,0.13,0.16,0.11,0.413129862,0.337488637
1,0.11,0.11,0.11,0.1,0.27,0.12,0.11,0.18,0.14,0.14,0.16,0.12,0.13,0.26,0.33,0.107545771,0.295002954
0,0.11,0.11,0.11,0.15,0.27,0.12,0.12,0.06,0.14,0.14,0.16,0.12,0.13,0.1,0.15,0.408473476,0.53008953
1,0.16,0.28,0.11,0.1,0.27,0.14,0.11,0.18,0.14,0.13,0.16,0.13,0.16,0.13,0.15,0.107660153,0.294963443
0,0.16,0.28,0.11,0.1,0.05,0.15,0.11,0.18,0.12,0.13,0.16,0.16,0.13,0.16,0.15,0.412483014,0.33771208
0,0.11,0.11,0.11,0.15,0.27,0.15,0.11,0.18,0.14,0.13,0.16,0.16,0.16,0.16,0.11,0.995060897,0.999991825
0,0.11,0.11,0.11,0.15,0.05,0.12,0.08,0.06,0.14,0.14,0.16,0.16,0.16,0.13,0.15,0.864517848,0.732503635
0,0.11,0.11,0.11,0.15,0.05,0.12,0.08,0.06,0.12,0.13,0.06,0.13,0.11,0.1,0.11,0.864513904,0.732504997
0,0.11,0.11,0.11,0.1,0.05,0.14,0.11,0.06,0.14,0.14,0.16,0.13,0.16,0.1,0.15,0.995088506,0.999982288
1,0.16,0.28,0.11,0.15,0.05,0.14,0.13,0.18,0.14,0.13,0.16,0.15,0.13,0.16,0.15,0.199643534,0.085764315
0,0.16,0.28,0.11,0.15,0.05,0.12,0.08,0.18,0.12,0.14,0.16,0.13,0.13,0.16,0.11,0.491004624,0.736311967
1,0.11,0.11,0.11,0.15,0.05,0.14,0.44,0.18,0.14,0.14,0.16,0.12,0.13,0.26,0.33,0.202089532,4.36E-05
0,0.11,0.11,0.11,0.15,0.27,0.14,0.11,0.06,0.14,0.14,0.16,0.12,0.13,0.1,0.11,0.995080618,0.999985013
0,0.11,0.11,0.11,0.15,0.27,0.13,0.14,0.18,0.14,0.14,0.16,0.16,0.11,0.16,0.15,0.999972391,0.823086406
0,0.16,0.28,0.11,0.15,0.05,0.14,0.14,0.18,0.14,0.14,0.16,0.16,0.16,0.16,0.11,0.413659352,0.27821452
0,0.11,0.11,0.11,0.1,0.27,0.13,0.12,0.06,0.14,0.14,0.06,0.12,0.13,0.1,0.11,0.99766496,0.979027197
0,0.11,0.11,0.11,0.15,0.27,0.14,0.08,0.06,0.12,0.14,0.16,0.16,0.16,0.16,0.15,0.864521792,0.732502273
0,0.11,0.11,0.11,0.15,0.05,0.14,0.13,0.18,0.14,0.13,0.16,0.13,0.13,0.16,0.15,0.866477891,0.888859975
0,0.11,0.11,0.11,0.1,0.27,0.12,0.11,0.18,0.14,0.14,0.06,0.16,0.11,0.11,0.11,0.995056953,0.999993188
0,0.11,0.11,0.11,0.15,0.05,0.14,0.11,0.18,0.14,0.14,0.06,0.13,0.13,0.13,0.11,0.99504512,0.999997275
0,0.11,0.11,0.11,0.15,0.27,0.15,0.11,0.18,0.14,0.14,0.06,0.12,0.13,0.13,0.11,0.995060897,0.999991825
0,0.11,0.11,0.11,0.1,0.27,0.14,0.08,0.18,0.14,0.14,0.16,0.16,0.11,0.16,0.11,0.491142671,0.736264281
1,0.65,0.28,0.65,0.15,0.27,0.14,0.48,0.18,0.14,0.13,0.16,0.12,0.13,0.11,0.33,0.220494796,0.179641773
1,0.11,0.11,0.11,0.1,0.27,0.14,0.14,0.18,0.14,0.13,0.06,0.12,0.13,0.26,0.33,0.999980279,0.823083681
0,0.11,0.11,0.11,0.1,0.27,0.15,0.12,0.06,0.12,0.14,0.06,0.12,0.11,0.11,0.11,0.997641295,0.979035371
0,0.11,0.11,0.11,0.15,0.05,0.12,0.11,0.18,0.14,0.13,0.16,0.13,0.13,0.13,0.15,0.995064841,0.999990463
1,0.11,0.11,0.11,0.15,0.05,0.12,0.08,0.18,0.14,0.14,0.16,0.16,0.11,0.16,0.15,0.491221555,0.736237032
